Id,Unknown0,Level,Stat1Min,Stat1Max,Stat2Min,Stat2Max,Stat3Min,Stat3Max,Stat4Min,Stat4Max,Stat1Group,Stat2Group,Stat3Group,Stat4Group,Domain,Name,GenerationType,CorrectGroup,Data0Length,Data0,Data1Length,Data1,Unknown22,Unknown23,Data2Length,Data2,Unknown26,Data3Length,Data3,Data4Length,Data4,Metadata,Unknown32
"StrengthUniqueHelmetStrDex3",19369,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3350,0,3350,-72340172838076674,0,0,3350,-72340172838076674,0,3350,0,3350,"",-72340172838076674
"StrengthUniqueClaw5_",24474,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3422,0,3422,-72340172838076674,0,0,3422,-72340172838076674,0,3422,0,3422,"",-72340172838076674
"StrengthUniqueRing8",50621,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3492,0,3492,-72340172838076674,0,0,3492,-72340172838076674,0,3492,0,3492,"",-72340172838076674
"StrengthUniqueBootsDexInt2",26472,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3576,0,3576,-72340172838076674,0,0,3576,-72340172838076674,0,3576,0,3576,"",-72340172838076674
"StrengthUniqueTwoHandAxe5",15477,1,10,10,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3658,0,3658,-72340172838076674,0,0,3658,-72340172838076674,0,3658,0,3658,"",-72340172838076674
"StrengthUniqueTwoHandSword5",51229,1,40,50,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3744,0,3744,-72340172838076674,0,0,3744,-72340172838076674,0,3744,0,3744,"",-72340172838076674
"StrengthUniqueBelt7",37171,1,40,55,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3814,0,3814,-72340172838076674,0,0,3814,-72340172838076674,0,3814,0,3814,"",-72340172838076674
"StrengthUniqueSceptre6",64406,1,50,70,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3890,0,3890,-72340172838076674,0,0,3890,-72340172838076674,0,3890,0,3890,"",-72340172838076674
"StrengthUniqueBodyStr4",15341,1,10,20,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3966,0,3966,-72340172838076674,0,0,3966,-72340172838076674,0,3966,0,3966,"",-72340172838076674
"PercentageStrengthUniqueBootsStrInt2",56653,1,15,18,0,0,0,0,0,0,2096,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,4070,0,4070,-72340172838076674,0,0,4070,-72340172838076674,0,4070,0,4070,"",-72340172838076674
"Dexterity1",45863,1,8,12,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Mongoose",2,"Dexterity",14,4154,14,4266,-72340172838076674,0,0,4322,-72340172838076674,0,4322,0,4322,"",-72340172838076674
"Dexterity2",16685,11,13,17,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Lynx",2,"Dexterity",14,4398,14,4510,-72340172838076674,0,0,4566,-72340172838076674,0,4566,0,4566,"",-72340172838076674
"Dexterity3",10074,22,18,22,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Fox",2,"Dexterity",14,4640,14,4752,-72340172838076674,0,0,4808,-72340172838076674,0,4808,0,4808,"",-72340172838076674
"Dexterity4",50910,33,23,27,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Falcon",2,"Dexterity",14,4888,14,5000,-72340172838076674,0,0,5056,-72340172838076674,0,5056,0,5056,"",-72340172838076674
"Dexterity5",56313,44,28,32,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Panther",2,"Dexterity",14,5138,14,5250,-72340172838076674,0,0,5306,-72340172838076674,0,5306,0,5306,"",-72340172838076674
"Dexterity6",5978,55,33,37,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Leopard",2,"Dexterity",14,5388,14,5500,-72340172838076674,0,0,5556,-72340172838076674,0,5556,0,5556,"",-72340172838076674
"Dexterity7",15758,66,38,42,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Jaguar",2,"Dexterity",14,5636,14,5748,-72340172838076674,0,0,5804,-72340172838076674,0,5804,0,5804,"",-72340172838076674
"Dexterity8",59101,74,43,50,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Phantasm",2,"Dexterity",14,5888,14,6000,-72340172838076674,0,0,6056,-72340172838076674,0,6056,0,6056,"",-72340172838076674
"DexterityImplicitAmulet1",33406,7,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6138,0,6138,-72340172838076674,0,0,6138,-72340172838076674,0,6138,0,6138,"",-72340172838076674
"DexterityImplicitQuiver1",38256,15,30,40,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6220,0,6220,-72340172838076674,0,0,6220,-72340172838076674,0,6220,0,6220,"",-72340172838076674
"DexterityUniqueRing3",52225,1,10,10,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6294,0,6294,-72340172838076674,0,0,6294,-72340172838076674,0,6294,0,6294,"",-72340172838076674
"DexterityUniqueBodyDex1",1596,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6374,0,6374,-72340172838076674,0,0,6374,-72340172838076674,0,6374,0,6374,"",-72340172838076674
"DexterityUniqueBootsInt1",31522,1,5,10,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6456,0,6456,-72340172838076674,0,0,6456,-72340172838076674,0,6456,0,6456,"",-72340172838076674
"DexterityUniqueBootsStrDex1",14607,1,40,60,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6544,0,6544,-72340172838076674,0,0,6544,-72340172838076674,0,6544,0,6544,"",-72340172838076674
"DexterityUniqueBootsInt2",14278,1,5,5,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6626,0,6626,-72340172838076674,0,0,6626,-72340172838076674,0,6626,0,6626,"",-72340172838076674
"DexterityUniqueBootsInt3",64171,1,10,10,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6708,0,6708,-72340172838076674,0,0,6708,-72340172838076674,0,6708,0,6708,"",-72340172838076674
"DexterityUniqueGlovesDex2",49165,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6792,0,6792,-72340172838076674,0,0,6792,-72340172838076674,0,6792,0,6792,"",-72340172838076674
"DexterityUniqueGlovesStrDex1",59302,1,40,50,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6882,0,6882,-72340172838076674,0,0,6882,-72340172838076674,0,6882,0,6882,"",-72340172838076674
"DexterityUniqueAmulet7",41287,1,10,10,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,6960,0,6960,-72340172838076674,0,0,6960,-72340172838076674,0,6960,0,6960,"",-72340172838076674
"DexterityUniqueHelmetStrDex2",2486,1,50,65,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7050,0,7050,-72340172838076674,0,0,7050,-72340172838076674,0,7050,0,7050,"",-72340172838076674
"DexterityUniqueBootsDex1",61574,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7132,0,7132,-72340172838076674,0,0,7132,-72340172838076674,0,7132,0,7132,"",-72340172838076674
"DexterityUniqueDagger3",3416,1,10,20,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7210,0,7210,-72340172838076674,0,0,7210,-72340172838076674,0,7210,0,7210,"",-72340172838076674
"DexterityUniqueShieldStrInt2",34657,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7300,0,7300,-72340172838076674,0,0,7300,-72340172838076674,0,7300,0,7300,"",-72340172838076674
"DexterityUniqueBow4",21845,1,10,20,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7372,0,7372,-72340172838076674,0,0,7372,-72340172838076674,0,7372,0,7372,"",-72340172838076674
"DexterityUniqueBow6",38371,1,10,20,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7444,0,7444,-72340172838076674,0,0,7444,-72340172838076674,0,7444,0,7444,"",-72340172838076674
"DexterityUniqueBootsDex3",23388,1,15,15,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7526,0,7526,-72340172838076674,0,0,7526,-72340172838076674,0,7526,0,7526,"",-72340172838076674
"DexterityUniqueBow7",34117,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7598,0,7598,-72340172838076674,0,0,7598,-72340172838076674,0,7598,0,7598,"",-72340172838076674
"DexterityUniqueBodyDex4",21951,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7678,0,7678,-72340172838076674,0,0,7678,-72340172838076674,0,7678,0,7678,"",-72340172838076674
"DexterityUniqueHelmetDex4",58124,1,30,50,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7762,0,7762,-72340172838076674,0,0,7762,-72340172838076674,0,7762,0,7762,"",-72340172838076674
"DexterityUniqueGlovesStrDex3",11683,1,10,10,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7852,0,7852,-72340172838076674,0,0,7852,-72340172838076674,0,7852,0,7852,"",-72340172838076674
"DexterityUniqueGlovesInt4__",27179,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,7940,0,7940,-72340172838076674,0,0,7940,-72340172838076674,0,7940,0,7940,"",-72340172838076674
"DexterityUniqueGlovesDexInt4",17517,1,40,50,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8030,0,8030,-72340172838076674,0,0,8030,-72340172838076674,0,8030,0,8030,"",-72340172838076674
"DexterityUniqueHelmetStrDex3",15536,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8120,0,8120,-72340172838076674,0,0,8120,-72340172838076674,0,8120,0,8120,"",-72340172838076674
"DexterityUniqueRing8",37658,1,10,20,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8194,0,8194,-72340172838076674,0,0,8194,-72340172838076674,0,8194,0,8194,"",-72340172838076674
"DexterityUniqueBootsDex4_",35652,1,30,40,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8278,0,8278,-72340172838076674,0,0,8278,-72340172838076674,0,8278,0,8278,"",-72340172838076674
"DexterityUniqueHelmetDexInt2",26793,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8368,0,8368,-72340172838076674,0,0,8368,-72340172838076674,0,8368,0,8368,"",-72340172838076674
"DexterityUniqueBootsDexInt2",28565,1,20,30,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8456,0,8456,-72340172838076674,0,0,8456,-72340172838076674,0,8456,0,8456,"",-72340172838076674
"DexterityUniqueBelt7",660,1,40,55,0,0,0,0,0,0,588,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8530,0,8530,-72340172838076674,0,0,8530,-72340172838076674,0,8530,0,8530,"",-72340172838076674
"PercentageDexterityUniqueBodyDex7",42241,1,5,5,0,0,0,0,0,0,2095,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Dexterity",0,8630,0,8630,-72340172838076674,0,0,8630,-72340172838076674,0,8630,0,8630,"",-72340172838076674
"Intelligence1",5016,1,8,12,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Pupil",2,"Intelligence",13,8720,13,8824,-72340172838076674,0,0,8876,-72340172838076674,0,8876,0,8876,"",-72340172838076674
"Intelligence2",45645,11,13,17,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Student",2,"Intelligence",13,8970,13,9074,-72340172838076674,0,0,9126,-72340172838076674,0,9126,0,9126,"",-72340172838076674
"Intelligence3",44673,22,18,22,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Prodigy",2,"Intelligence",13,9220,13,9324,-72340172838076674,0,0,9376,-72340172838076674,0,9376,0,9376,"",-72340172838076674
"Intelligence4",47460,33,23,27,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Augur",2,"Intelligence",13,9466,13,9570,-72340172838076674,0,0,9622,-72340172838076674,0,9622,0,9622,"",-72340172838076674
"Intelligence5",46613,44,28,32,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Philosopher",2,"Intelligence",13,9724,13,9828,-72340172838076674,0,0,9880,-72340172838076674,0,9880,0,9880,"",-72340172838076674
"Intelligence6",25951,55,33,37,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Sage",2,"Intelligence",13,9968,13,10072,-72340172838076674,0,0,10124,-72340172838076674,0,10124,0,10124,"",-72340172838076674
"Intelligence7",33120,66,38,42,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Savant",2,"Intelligence",13,10216,13,10320,-72340172838076674,0,0,10372,-72340172838076674,0,10372,0,10372,"",-72340172838076674
"Intelligence8",5358,74,43,50,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Virtuoso",2,"Intelligence",13,10468,13,10572,-72340172838076674,0,0,10624,-72340172838076674,0,10624,0,10624,"",-72340172838076674
"IntelligenceUniqueOneHandSword2",14723,1,10,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,10726,0,10726,-72340172838076674,0,0,10726,-72340172838076674,0,10726,0,10726,"",-72340172838076674
"IntelligenceImplicitAmulet1",55486,7,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,10820,0,10820,-72340172838076674,0,0,10820,-72340172838076674,0,10820,0,10820,"",-72340172838076674
"IntelligenceUniqueRing4",5211,1,5,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,10906,0,10906,-72340172838076674,0,0,10906,-72340172838076674,0,10906,0,10906,"",-72340172838076674
"IntelligenceUniqueBootsInt1",899,1,5,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11000,0,11000,-72340172838076674,0,0,11000,-72340172838076674,0,11000,0,11000,"",-72340172838076674
"IntelligenceUniqueBootsInt3",57954,1,10,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11094,0,11094,-72340172838076674,0,0,11094,-72340172838076674,0,11094,0,11094,"",-72340172838076674
"IntelligenceUniqueGlovesInt2",29139,1,10,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11190,0,11190,-72340172838076674,0,0,11190,-72340172838076674,0,11190,0,11190,"",-72340172838076674
"IntelligenceUniqueBelt1",27444,1,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11276,0,11276,-72340172838076674,0,0,11276,-72340172838076674,0,11276,0,11276,"",-72340172838076674
"IntelligenceUniqueWand1",42193,1,10,10,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11362,0,11362,-72340172838076674,0,0,11362,-72340172838076674,0,11362,0,11362,"",-72340172838076674
"IntelligenceUniqueBootsDex1",8523,1,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11456,0,11456,-72340172838076674,0,0,11456,-72340172838076674,0,11456,0,11456,"",-72340172838076674
"IntelligenceUniqueWand2",62001,1,10,20,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11542,0,11542,-72340172838076674,0,0,11542,-72340172838076674,0,11542,0,11542,"",-72340172838076674
"IntelligenceUniqueBootsDex3",35330,1,15,15,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11636,0,11636,-72340172838076674,0,0,11636,-72340172838076674,0,11636,0,11636,"",-72340172838076674
"IntelligenceUniqueBodyInt3",60036,1,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11728,0,11728,-72340172838076674,0,0,11728,-72340172838076674,0,11728,0,11728,"",-72340172838076674
"IntelligenceUniqueShieldDex3",23784,1,40,60,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11824,0,11824,-72340172838076674,0,0,11824,-72340172838076674,0,11824,0,11824,"",-72340172838076674
"IntelligenceUniqueBodyStrInt3",40841,1,15,15,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,11922,0,11922,-72340172838076674,0,0,11922,-72340172838076674,0,11922,0,11922,"",-72340172838076674
"IntelligenceUniqueGlovesInt3",60771,1,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12018,0,12018,-72340172838076674,0,0,12018,-72340172838076674,0,12018,0,12018,"",-72340172838076674
"IntelligenceUniqueGlovesInt5",42995,1,20,30,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12114,0,12114,-72340172838076674,0,0,12114,-72340172838076674,0,12114,0,12114,"",-72340172838076674
"IntelligenceUniqueHelmetInt5",49895,1,30,40,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12210,0,12210,-72340172838076674,0,0,12210,-72340172838076674,0,12210,0,12210,"",-72340172838076674
"IntelligenceUniqueHelmetInt6",43313,1,40,50,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12306,0,12306,-72340172838076674,0,0,12306,-72340172838076674,0,12306,0,12306,"",-72340172838076674
"IntelligenceUniqueRing13",32479,1,60,75,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12394,0,12394,-72340172838076674,0,0,12394,-72340172838076674,0,12394,0,12394,"",-72340172838076674
"IntelligenceUniqueOneHandAxe1",47629,1,10,20,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12492,0,12492,-72340172838076674,0,0,12492,-72340172838076674,0,12492,0,12492,"",-72340172838076674
"IntelligenceUniqueSceptre5",25511,1,10,20,0,0,0,0,0,0,585,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Intelligence",0,12584,0,12584,-72340172838076674,0,0,12584,-72340172838076674,0,12584,0,12584,"",-72340172838076674
"AllAttributes1",57975,1,1,4,0,0,0,0,0,0,614,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Clouds",2,"AllAttributes",3,12680,3,12704,-72340172838076674,0,0,12716,-72340172838076674,0,12716,0,12716,"",-72340172838076674
"AllAttributes2",37560,11,5,8,0,0,0,0,0,0,614,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Sky",2,"AllAttributes",3,12806,3,12830,-72340172838076674,0,0,12842,-72340172838076674,0,12842,0,12842,"",-72340172838076674
